date,open,high,low,close,volume,bm_ret_week
2023-03-10,2421.425,2435.902,2354.023,2370.358,55524279294.0,-0.021089647624848995
2023-03-17,2359.721,2375.285,2289.28,2293.67,63531966575.0,-0.027991020972394587
2023-03-24,2291.385,2373.774,2280.136,2370.38,75654401393.0,0.0344747827187486
2023-03-31,2363.007,2402.55,2362.658,2399.502,73129771754.0,0.01544430465081148
2023-04-07,2406.137,2454.044,2402.304,2446.945,68384108497.0,0.016959965288759538
2023-04-14,2457.193,2463.272,2403.916,2428.09,79892625315.0,-0.011844002485763228
2023-04-21,2420.012,2443.771,2340.615,2341.191,72561697117.0,-0.03257049965041514
2023-04-28,2337.381,2340.259,2243.833,2324.715,81683240920.0,-0.00541888549620273
2023-05-05,2316.333,2319.828,2260.636,2267.632,31806569712.0,-0.02102504259966076
2023-05-12,2274.717,2296.451,2228.18,2252.38,70512561403.0,-0.009819683063871265
2023-05-19,2259.169,2307.171,2257.823,2278.585,66641698148.0,0.008594310562866303
2023-05-26,2278.708,2291.331,2215.286,2229.268,64573744185.0,-0.021696505212602912
2023-06-02,2236.981,2240.566,2180.7,2233.275,75783419141.0,-0.0016566971288536347
2023-06-09,2226.203,2226.591,2118.331,2143.009,68044246525.0,-0.03737035661168364
2023-06-16,2135.882,2272.016,2131.118,2270.064,74185397018.0,0.06282275893518463
2023-06-23,2271.762,2277.33,2211.836,2211.836,47075543437.0,-0.026378643537483426
2023-06-30,2185.149,2227.995,2160.193,2215.001,65110360880.0,0.013661310967810536
2023-07-07,2223.33,2239.928,2169.208,2169.208,61845986471.0,-0.024342765131581845
2023-07-14,2174.332,2239.425,2174.332,2224.096,61492698784.0,0.02288702921173047
2023-07-21,2212.763,2215.249,2151.066,2163.117,56090054897.0,-0.022436203063771254
2023-07-28,2148.286,2224.027,2142.909,2219.538,56136444869.0,0.03316690608233719
2023-08-04,2233.264,2282.648,2213.041,2263.373,61238201891.0,0.013482060338589674
2023-08-11,2252.435,2255.999,2187.036,2187.036,55979798075.0,-0.029034800116318538
2023-08-18,2163.28,2171.564,2113.304,2118.925,52488848983.0,-0.020503587145445756
2023-08-25,2108.7,2115.02,2032.582,2040.399,59876095818.0,-0.03239009816474603
2023-09-01,2182.386,2182.386,2054.976,2100.258,72910345849.0,-0.03763220621833174
2023-09-08,2110.169,2122.624,2038.571,2049.765,65292365679.0,-0.028625195422736338
2023-09-15,2048.95,2076.903,1996.122,2002.728,60086309843.0,-0.02255887161716963
2023-09-22,1994.868,2033.146,1963.233,2013.344,50631883182.0,0.009261765690762536
2023-09-29,2015.316,2027.818,1989.65,2003.908,46536478580.0,-0.005660650736658779
2023-10-13,2000.134,2022.361,1977.774,1996.601,69965466416.0,-0.0017663816524292608
2023-10-20,1993.907,1994.264,1893.95,1896.946,65845638732.0,-0.04862864717361437
2023-10-27,1891.485,1937.313,1840.258,1929.909,74237225555.0,0.020314197574921478
2023-11-03,1933.789,1983.465,1931.701,1968.213,75974486718.0,0.017801321654017155
2023-11-10,1984.332,2035.911,1984.332,2005.235,86425975018.0,0.010534023540415438
2023-11-17,2018.827,2033.389,1971.223,1986.526,76954401808.0,-0.015999885081782628
2023-11-24,1987.854,2014.594,1935.002,1937.94,78018267761.0,-0.025109489932359175
2023-12-01,1936.612,1938.729,1904.646,1926.284,64235865558.0,-0.005333024890891935
2023-12-08,1923.216,1926.166,1864.237,1892.178,69138033302.0,-0.016138592856964507
2023-12-15,1880.578,1919.835,1844.181,1848.501,59473609824.0,-0.017056989925437804
2023-12-22,1839.316,1848.317,1792.376,1825.842,53599364054.0,-0.007325549280275845
2023-12-29,1820.252,1897.672,1796.695,1891.366,52692478907.0,0.0390682169282055
2024-01-05,1889.023,1889.023,1765.724,1775.577,41917819140.0,-0.06005538312662151
2024-01-12,1769.325,1790.327,1726.556,1761.16,49560997689.0,-0.004614754214177674
2024-01-19,1751.524,1766.258,1678.434,1715.436,48380126485.0,-0.020603771344269273
2024-01-26,1710.29,1720.851,1642.163,1682.478,57865578510.0,-0.01626156967531811
