date,open,high,low,close,open_hfq,high_hfq,low_hfq,close_hfq,close_original,adj_factor,adj_factor_hfq,volume,amount,turnover,EP,BM,EV_EBITDA,FCF_Yield,ROE,Gross_Profit,Accruals,Asset_Growth,NBIS_W,ATVR_5_20,REV1,MOM_2_20,IND_RS_5,VOL20,AMIHUD20,THEME_HEAT,RSI,MACD,stock_code,stock_name
2023-12-29,70.32,71.37,65.82,70.53,213.58,216.73,200.08,214.21,70.71,0.9974543911752228,3.0294159241974263,224994,1555554826.0,1.366,0.02324280088746707,0.3208002608423301,0.33560025433301566,0.01394568053248024,0.10485378436991323,0.25,-0.020100488194061863,0.11969615506024417,2.283967999999999e-07,0.6322610506534478,-0.02304079835632522,-0.2102369854247974,-0.036453817554885526,0.42168928052816557,0.04038722901825455,-0.014873116986003552,28.963414632085914,-2.911115110086385,300474,景嘉微
2024-01-05,70.53,74.49,67.73,67.9,214.21,226.09,205.81,206.32,68.08,0.9973560517038779,3.0305522914218566,230822,1644261641.0,1.7525,0.02414307432390357,0.3332259557762819,0.34261017794451104,0.014485844594342143,0.10464203514193275,0.25,-0.016377557085621174,0.11925248493900024,6.158009999999991e-08,0.8773784354715974,0.013431358687968409,-0.06637457854402673,0.02932617554762995,0.3719280259647702,0.04711646558220222,0.02082695600448193,40.135346170942775,-2.4068776012845774,300474,景嘉微
2024-01-12,67.7,68.27,62.27,62.97,205.72,207.43,189.43,191.53,63.15,0.9971496437054632,3.032937450514648,221685,1434228310.0,1.348,0.026033265786772314,0.35931463232030403,0.35664059205503545,0.015619959472063388,0.10424926293376192,0.25,-0.011256575968300623,0.11842952423740816,9.025140000000003e-08,0.9191953630467646,-0.015180265654648917,-0.1259309052085501,-0.06448716059388182,0.322527248497026,0.05793883041252569,-0.0728650634425992,30.371900824249977,-3.28777766422364,300474,景嘉微
2024-01-19,62.95,64.52,57.2,59.0,191.47,196.18,174.22,179.62,59.18,0.9969584319026699,3.0351470091247044,291164,1762063335.0,1.77,0.02778499570496699,0.38349224402050075,0.3709612709862746,0.016670997422980192,0.10371996581678788,0.25,-0.010674311827471085,0.11732050807568878,-1.3396549999999998e-07,1.1445198835341404,-0.017276422764227695,-0.18358583433150744,-0.03708346102015647,0.31167420088328146,0.06009326318822806,-0.06684569607075118,20.4510507417411,-3.9173881434216042,300474,景嘉微
2024-01-26,59.5,59.78,53.7,56.36,181.12,181.96,163.72,171.7,56.54,0.9968164131588256,3.0367881146091262,300935,1703237060.0,1.828,0.02908649301974898,0.40145568483338434,0.3901693193938992,0.01745189581184939,0.10306235932215452,0.25,-0.005474361238667125,0.11594265014445847,2.3152859999999993e-07,1.1068725400480248,-0.030276046304541504,-0.2103478457878739,-0.025533154372060496,0.38458674822803196,0.0692537104776036,-0.07418767450981369,26.196880041061064,-4.229288226924432,300474,景嘉微
2024-02-02,56.48,58.18,45.32,48.07,172.06,177.16,138.58,146.83,48.25,0.9962694300518135,3.043108808290156,386287,2018890787.0,2.346,0.034102657511817194,0.4706894611443633,0.41880118553720164,0.020461594507090317,0.10228665054614827,0.25,0.031302689590865816,0.11431733698519438,1.6770469999999992e-07,1.2868897421126229,-0.006133755441234623,-0.28754264714705513,-0.06857261485606336,0.40670895372546395,0.07511585849844551,-0.12649438226278398,18.557607738523316,-5.019059741294207,300474,景嘉微
2024-02-09,47.35,56.2,42.13,54.07,144.67,171.22,129.01,164.83,54.25,0.9966820276497695,3.038341013824885,436039,2172411825.0,3.31,0.030318378890198866,0.4184583391383307,0.44505376081261,0.018191027334119318,0.10158908396142384,0.25,0.020746617165410167,0.11285575219373081,2.651744999999999e-07,1.4693877550354018,-0.060950832994717485,-0.24945704928156176,-0.02340953341505725,0.6939125570277616,0.08736128218492145,-0.11380969662606269,41.90476190283525,-4.485907347392924,300474,景嘉微
2024-02-23,57.32,60.58,55.86,59.24,174.58,184.36,170.2,180.34,59.42,0.9969707169303265,3.035005048805116,531342,3100212325.0,3.228,0.027672429888471517,0.3819385954964474,0.4536642664411479,0.016603457933082908,0.10063224569024336,0.25,0.00882443191340204,0.11085092527731519,2.0975879999999993e-07,1.2543229064987635,-0.03174043378592839,-0.03602962097376727,0.0774717099790494,0.7682087252822619,0.08391253835816542,0.23233660063301667,54.612427928364596,-1.6883351553368584,300474,景嘉微
2024-03-01,58.63,66.62,57.82,65.87,178.51,202.48,176.08,200.23,66.05,0.9972747918243756,3.0314912944738834,735863,4588217078.0,4.4719999999999995,0.024887122310506337,0.3434954060605669,0.44785757541204785,0.0149322733863038,0.09959502435736077,0.25,0.025072441397890933,0.10867767478235117,3.77702e-07,1.3772713273367023,-0.07018739352640546,0.03773168536072746,0.07446894722895259,0.8383225711418607,0.07624495302868874,0.10698970718763165,73.6074270529695,0.5735935961915928,300474,景嘉微
2024-03-08,66.62,76.24,65.33,75.62,202.48,231.34,198.61,229.48,75.8,0.9976253298153035,3.0274406332453827,1034708,7289763310.0,6.286,0.021678322488667714,0.2992071197726731,0.42426585542441064,0.013006993493200628,0.09849351928372485,0.25,0.023779386574812877,0.10636973300503368,9.671469999999991e-08,1.4596540113442549,0.03813559322033888,0.3905006814628049,0.15719682866980256,0.8357347047658863,0.06445207125247905,0.2419764580928736,73.96483266864578,3.4669960729165936,300474,景嘉微
